frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
0,78,10,4400,-100,-100
0,79,-1,122856,5.30833,5.30833
0,79,0,12304,-100,-100
0,79,1,12304,-100,-100
0,79,2,12304,-100,-100
0,79,3,12304,-100,-100
0,79,4,12304,-100,-100
0,79,5,12304,-100,-100
0,79,6,12304,-100,-100
0,79,7,12304,-100,-100
0,79,8,12304,-100,-100
0,79,9,12304,-100,-100
0,79,10,3160,-100,-100
0,80,-1,187616,5.38542,5.38542
0,80,0,12304,-100,-100
0,80,1,12304,-100,-100
0,80,2,12304,-100,-100
0,80,3,12304,-100,-100
0,80,4,12304,-100,-100
0,80,5,12304,-100,-100
0,80,6,12304,-100,-100
0,80,7,12304,-100,-100
0,80,8,12304,-100,-100
0,80,9,12304,-100,-100
0,80,10,12304,-100,-100
0,80,11,12304,-100,-100
0,80,12,12304,-100,-100
0,80,13,12304,-100,-100
0,80,14,12304,-100,-100
0,80,15,7920,-100,-100
0,81,-1,153160,5.4625,5.4625
0,81,0,12304,-100,-100
0,81,1,12304,-100,-100
0,81,2,12304,-100,-100
0,81,3,12304,-100,-100
0,81,4,12304,-100,-100
0,81,5,12304,-100,-100
0,81,6,12304,-100,-100
0,81,7,12304,-100,-100
0,81,8,12304,-100,-100
0,81,9,12304,-100,-100
0,81,10,12304,-100,-100
0,81,11,12304,-100,-100
0,81,12,9464,-100,-100
0,82,-1,124032,5.53958,5.53958
0,82,0,12304,-100,-100
0,82,1,12304,-100,-100
0,82,2,12304,-100,-100
0,82,3,12304,-100,-100
